"room_type","capacity","satisfaction_rating","bedrooms_no","metro_dist","attractions_index","longitude","latitude","price"
"Private room","2",93,"1",2.53938000259449,4.16670786849075,4.90569,52.41772,194.033698122935
"Private room","4",85,"1",0.239403922834986,33.4212086152754,4.90005,52.37432,344.245776017622
"Private room","2",87,"1",3.65162128879366,3.98590769987901,4.97512,52.36103,264.101422445106
"Private room","4",90,"2",0.439876076131916,26.1191084544267,4.89417,52.37663,433.529397979987
"Private room","2",98,"1",0.318692646841683,29.2727330044883,4.90051,52.37508,485.552925737586
"Private room","3",100,"2",1.90466824141084,9.25519139895254,4.87699,52.38966,552.808567478265
"Private room","2",94,"1",0.729746739030318,10.5990101558739,4.9157,52.38296,215.124317484123
"Entire home/apt","4",96,"2",1.19611235287167,5.62476143916501,4.86459,52.40175,1001.80441965646
"Private room","2",88,"1",0.924404438604663,10.9212260640219,4.876,52.347,276.521453846695
"Entire home/apt","2",96,"1",0.917115067927892,21.7022600216641,4.87956,52.36953,909.474374897476
"Private room","2",97,"1",1.59038136275141,10.1401231531734,4.92496,52.37107,319.640053429569
"Entire home/apt","4",87,"1",0.628073046672581,11.3803337616303,4.88934,52.34697,675.602840203407
"Entire home/apt","2",100,"1",1.34216240769095,17.2225187552466,4.87417,52.37509,552.808567478265
"Private room","2",96,"1",3.72081388562884,3.16518848612673,4.99679,52.35645,209.031471890891
"Private room","2",98,"1",0.557884534732064,19.0581054585701,4.90809,52.37455,368.851498605676
"Private room","2",90,"1",0.119528106734041,28.5410903688375,4.88971,52.36148,368.851498605676
"Private room","2",97,"1",0.53493345961055,30.5039683973629,4.88368,52.36239,337.918590209266
"Private room","2",96,"1",0.552116487785562,28.0077538811132,4.8839,52.3631,313.547207836337
"Entire home/apt","2",93,"1",1.06533912599909,22.390342348843,4.87757,52.37336,447.589810887447
"Private room","2",96,"1",1.27889407511936,8.98550295593047,4.85206,52.36734,243.245143299042
"Entire home/apt","4",96,"2",0.377103687307555,25.2995134878825,4.89088,52.36422,933.845757270405
"Private room","2",97,"1",1.09877433764508,14.1550887750778,4.88642,52.38367,251.915731258641
"Private room","2",98,"1",0.983743003183535,14.762676775213,4.88799,52.38325,377.287746350151
"Private room","2",96,"1",2.68714403993968,4.88277150829602,4.89595,52.41122,245.588545450285
"Private room","2",93,"1",2.80843797194201,4.93874891029706,4.89375,52.41081,217.702059850491
"Private room","2",95,"1",0.22588229930566,9.00313250558618,4.895,52.343,295.034330841516
"Private room","2",94,"1",0.839325384512376,6.84279845448336,4.84631,52.34966,295.034330841516
"Entire home/apt","4",96,"2",1.42416942657583,9.709312280524,4.92432,52.37676,1032.97166826799
"Private room","4",98,"1",1.09483681131583,4.85378683316517,4.82174,52.37781,270.428608253462
"Entire home/apt","2",89,"1",1.12107054579802,20.4582816967425,4.87657,52.37288,524.687741663347
"Entire home/apt","4",94,"3",0.697422493836822,8.27285904308738,4.90806,52.34442,599.676610503128
"Entire home/apt","4",100,"2",0.38253540287555,25.8332006600922,4.88881,52.36397,516.017153703747
"Entire home/apt","3",100,"2",0.727962238844666,7.87504007213449,4.86021,52.34502,602.254352869496
"Entire home/apt","4",94,"2",1.87341099119857,5.22287531464615,4.94798,52.38786,504.065802732407
"Entire home/apt","6",96,"3",1.7500029807371,11.0112216565684,4.86225,52.35413,1609.91727790406
"Entire home/apt","2",94,"0",0.0383546937010648,6.28942086534695,4.92058,52.33997,310.969465469969
"Private room","2",94,"1",3.91172231585244,3.77776563393367,4.885,52.42343,202.704286082535
"Entire home/apt","4",94,"2",1.70258337275249,10.7406771634333,4.8588,52.35848,796.288050992431
"Private room","2",96,"1",4.14322690407996,3.55909995871549,4.98597,52.36376,504.065802732407
"Private room","2",95,"1",0.338657742223119,29.5787665358304,4.90032,52.37525,319.640053429569
"Private room","4",96,"1",0.332742213290434,37.9892659066762,4.89969,52.37513,614.44004405596
"Private room","3",94,"1",0.277211122981216,31.2028100365855,4.90027,52.37469,467.040048742765
"Entire home/apt","5",96,"2",0.397527937593802,6.18061314856557,4.841,52.38253,716.378037635039
"Private room","2",91,"0",0.956927964215038,15.5177571939521,4.88774,52.38254,350.10428139573
"Private room","2",97,"1",0.312638046231687,35.3132018538391,4.89831,52.37457,319.640053429569
"Private room","3",96,"1",0.143262948598286,40.6183926069792,4.90002,52.37341,467.040048742765
"Entire home/apt","3",100,"2",1.35258693537152,17.0511077651509,4.87317,52.36917,983.291542661636
"Private room","2",94,"0",1.51931104447681,5.7581672303758,4.93986,52.34829,298.783774283505
"Private room","4",94,"1",2.37126686169785,3.48209287769349,4.96617,52.40648,196.611440489302
"Entire home/apt","2",96,"1",0.792406622860474,7.65401768928172,4.84941,52.37788,430.248634968247
"Private room","2",95,"1",0.209639728815917,65.5776387635862,4.89843,52.3734,319.640053429569
"Private room","4",98,"1",1.24661088575081,4.61754849548074,4.82115,52.38375,405.642912380194
"Private room","2",97,"1",0.8970263744801,22.5223472124436,4.881,52.366,334.169146767277
"Private room","2",98,"1",0.190394602563414,100,4.89861,52.37326,491.880111545942
"Private room","2",95,"1",0.223506566549305,54.5540709227076,4.89837,52.37355,319.640053429569
"Private room","4",100,"5",0.857239330624339,16.4684040281008,4.91319,52.37075,780.352916363977
"Entire home/apt","2",90,"1",0.536238232806996,17.7375570545468,4.91113,52.36575,355.025425913341
"Entire home/apt","4",98,"2",0.175794704274626,16.1117961720281,4.9075,52.36296,1044.68867902421
"Entire home/apt","4",98,"3",1.15799974816084,19.2737306725662,4.87652,52.36806,847.842898319781
"Private room","2",98,"1",1.10499687765805,18.8299240333216,4.884,52.38,373.772643123286
"Entire home/apt","4",84,"1",0.459807359521903,29.7723215359364,4.89248,52.37524,613.268342980339
"Private room","2",98,"1",3.83306453705615,3.91391364845046,4.97698,52.36234,238.323998781431
"Entire home/apt","2",97,"1",0.91124653073194,7.40964967126113,4.85087,52.38181,430.248634968247
"Entire home/apt","3",77,"2",0.446809352023861,6.20746301083077,4.84034,52.35015,347.995219459612
"Entire home/apt","2",98,"1",1.24815318778849,8.87210411950457,4.85619,52.3778,330.419703325288
"Entire home/apt","4",99,"2",0.581534398334694,28.7388626275407,4.88428,52.37163,1179.66864293581
"Private room","2",98,"1",0.671240520603082,5.31744620900778,4.859,52.331,259.180277927495
"Private room","2",97,"1",2.39180122980794,6.04096842791679,4.94543,52.36055,277.927495137441
"Entire home/apt","3",96,"2",1.43039443196217,9.61979437550961,4.85835,52.37612,467.040048742765
"Entire home/apt","2",99,"1",1.47244096750299,7.88960523088728,4.87162,52.39226,583.741475874675
"Private room","4",88,"1",0.727107430854455,16.9569175669701,4.89075,52.3816,374.944344198908
"Private room","2",97,"1",0.657433674851632,7.7959108024284,4.86119,52.3442,372.366601832541
"Shared room","2",96,"1",0.0779166156732899,29.0970763734333,4.89,52.361,479.225739929229
"Entire home/apt","2",98,"1",1.82755552382394,8.69261085052967,4.87652,52.39109,454.8543575563
"Private room","2",95,"1",2.44381700312133,3.65875209132719,4.79837,52.35413,206.453729524524
"Private room","2",95,"1",0.985206907313854,15.6484187982046,4.88712,52.38237,497.73861692405
"Entire home/apt","2",97,"1",0.380485890331079,2.61182713857479,4.98057,52.30865,399.550066786961
"Private room","4",93,"2",1.21667487188568,19.4661392996227,4.87953,52.37845,761.840039369156
"Private room","2",90,"1",1.17216707822559,7.99748003437554,4.86247,52.38767,317.062311063202
"Private room","2",96,"1",0.49573391829028,26.5030512605639,4.89344,52.3764,319.405713214445
"Private room","2",97,"1",3.63203143779964,4.78646691282727,4.96166,52.36943,209.031471890891
